Hungary, Period fertility rates by calendar year, age and birth cohort (Lexis triangles)
Last modified: 08/03/2022
Year   Age   Cohort      ASFR
1956   12-       .    0.00000
1956   13     1943    0.00004
1956   13     1942    0.00010
1956   14     1942    0.00073
1956   14     1941    0.00147
1956   15     1941    0.00328
1956   15     1940    0.00522
1956   16     1940    0.01251
1956   16     1939    0.01820
1956   17     1939    0.03719
1956   17     1938    0.04608
1956   18     1938    0.07460
1956   18     1937    0.09363
1956   19     1937    0.12606
1956   19     1936    0.13879
1956   20     1936    0.16658
1956   20     1935    0.17115
1956   21     1935    0.18923
1956   21     1934    0.19278
1956   22     1934    0.19907
1956   22     1933    0.19709
1956   23     1933    0.19671
1956   23     1932    0.19112
1956   24     1932    0.17824
1956   24     1931    0.18207
1956   25     1931    0.16286
1956   25     1930    0.16518
1956   26     1930    0.14964
1956   26     1929    0.15427
1956   27     1929    0.13332
1956   27     1928    0.13959
1956   28     1928    0.12109
1956   28     1927    0.12324
1956   29     1927    0.10952
1956   29     1926    0.11516
1956   30     1926    0.09893
1956   30     1925    0.10496
1956   31     1925    0.08783
1956   31     1924    0.09698
1956   32     1924    0.08090
1956   32     1923    0.08917
1956   33     1923    0.07246
1956   33     1922    0.07834
1956   34     1922    0.06406
1956   34     1921    0.06786
1956   35     1921    0.05676
1956   35     1920    0.05748
1956   36     1920    0.04752
1956   36     1919    0.05211
1956   37     1919    0.04173
1956   37     1918    0.04385
1956   38     1918    0.03631
1956   38     1917    0.03487
1956   39     1917    0.02926
1956   39     1916    0.02809
1956   40     1916    0.02394
1956   40     1915    0.01998
1956   41     1915    0.02177
1956   41     1914    0.01714
1956   42     1914    0.01282
1956   42     1913    0.01276
1956   43     1913    0.00863
1956   43     1912    0.00800
1956   44     1912    0.00551
1956   44     1911    0.00441
1956   45     1911    0.00276
1956   45     1910    0.00230
1956   46     1910    0.00136
1956   46     1909    0.00099
1956   47     1909    0.00081
1956   47     1908    0.00033
1956   48     1908    0.00044
1956   48     1907    0.00023
1956   49     1907    0.00009
1956   49     1906    0.00021
1956   50     1906    0.00014
1956   50     1905    0.00013
1956   51     1905    0.00009
1956   51     1904    0.00008
1956   52     1904    0.00005
1956   52     1903    0.00003
1956   53     1903    0.00002
1956   53     1902    0.00001
1956   54     1902    0.00001
1956   54     1901    0.00000
1956   55+       .    0.00000
1957   12-       .    0.00000
1957   13     1944    0.00004
1957   13     1943    0.00012
1957   14     1943    0.00077
1957   14     1942    0.00150
1957   15     1942    0.00345
1957   15     1941    0.00445
1957   16     1941    0.01266
1957   16     1940    0.01787
1957   17     1940    0.04115
1957   17     1939    0.04775
1957   18     1939    0.08263
1957   18     1938    0.08819
1957   19     1938    0.13070
1957   19     1937    0.13675
1957   20     1937    0.17167
1957   20     1936    0.16334
1957   21     1936    0.19139
1957   21     1935    0.18233
1957   22     1935    0.18623
1957   22     1934    0.18424
1957   23     1934    0.18403
1957   23     1933    0.17140
1957   24     1933    0.16087
1957   24     1932    0.15437
1957   25     1932    0.14280
1957   25     1931    0.14159
1957   26     1931    0.13032
1957   26     1930    0.12864
1957   27     1930    0.11078
1957   27     1929    0.11687
1957   28     1929    0.10104
1957   28     1928    0.10427
1957   29     1928    0.08899
1957   29     1927    0.09296
1957   30     1927    0.08278
1957   30     1926    0.08491
1957   31     1926    0.07054
1957   31     1925    0.07484
1957   32     1925    0.06346
1957   32     1924    0.06748
1957   33     1924    0.05552
1957   33     1923    0.06140
1957   34     1923    0.05406
1957   34     1922    0.05263
1957   35     1922    0.04488
1957   35     1921    0.04681
1957   36     1921    0.03923
1957   36     1920    0.03819
1957   37     1920    0.03199
1957   37     1919    0.03438
1957   38     1919    0.02827
1957   38     1918    0.02613
1957   39     1918    0.02183
1957   39     1917    0.02025
1957   40     1917    0.02013
1957   40     1916    0.01737
1957   41     1916    0.01391
1957   41     1915    0.01225
1957   42     1915    0.01027
1957   42     1914    0.00956
1957   43     1914    0.00717
1957   43     1913    0.00654
1957   44     1913    0.00465
1957   44     1912    0.00428
1957   45     1912    0.00256
1957   45     1911    0.00180
1957   46     1911    0.00099
1957   46     1910    0.00089
1957   47     1910    0.00069
1957   47     1909    0.00035
1957   48     1909    0.00019
1957   48     1908    0.00014
1957   49     1908    0.00008
1957   49     1907    0.00000
1957   50     1907    0.00005
1957   50     1906    0.00005
1957   51     1906    0.00005
1957   51     1905    0.00004
1957   52     1905    0.00003
1957   52     1904    0.00002
1957   53     1904    0.00001
1957   53     1903    0.00001
1957   54     1903    0.00000
1957   54     1902    0.00000
1957   55+       .    0.00000
1958   12-       .    0.00000
1958   13     1945    0.00004
1958   13     1944    0.00011
