Bulgaria, Live births by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 01/12/2022
Year  ARDY   Cohort       Total
1957    42    1915       447.77
1957    43    1914       380.27
1957    44    1913       188.99
1957    45    1912       200.04
1957    46    1911       125.48
1957    47    1910        85.14
1957    48    1909        40.06
1957    49    1908        18.25
1957    50    1907         7.41
1957    51    1906         3.25
1957    52    1905         1.20
1957    53    1904         0.50
1957    54    1903         0.17
1957    55+   1902-        0.02
1958    12-   1946+        0.02
1958    13    1945         1.72
1958    14    1944        43.97
1958    15    1943       257.52
1958    16    1942       857.11
1958    17    1941      2195.15
1958    18    1940      4332.14
1958    19    1939      6356.23
1958    20    1938      8721.35
1958    21    1937     10188.73
1958    22    1936     11460.45
1958    23    1935     11158.08
1958    24    1934     12016.07
1958    25    1933     10856.52
1958    26    1932      9858.03
1958    27    1931      7648.23
1958    28    1930      7009.88
1958    29    1929      5799.49
1958    30    1928      5529.17
1958    31    1927      4450.64
1958    32    1926      4052.43
1958    33    1925      3254.13
1958    34    1924      2891.65
1958    35    1923      2187.83
1958    36    1922      1834.83
1958    37    1921      1388.09
1958    38    1920      1150.40
1958    39    1919       746.49
1958    40    1918       458.19
1958    41    1917       284.83
1958    42    1916       300.31
1958    43    1915       345.31
1958    44    1914       275.19
1958    45    1913       123.57
1958    46    1912       126.14
1958    47    1911        68.69
1958    48    1910        37.88
1958    49    1909        15.86
1958    50    1908         6.89
1958    51    1907         2.79
1958    52    1906         1.26
1958    53    1905         0.48
1958    54    1904         0.18
1958    55+   1903-        0.02
1959    12-   1947+        0.02
1959    13    1946         2.18
1959    14    1945        50.78
1959    15    1944       291.29
1959    16    1943       944.69
1959    17    1942      2538.92
1959    18    1941      4840.05
1959    19    1940      7551.98
1959    20    1939      9105.71
1959    21    1938     10569.68
1959    22    1937     10775.62
1959    23    1936     11193.85
1959    24    1935     10655.91
1959    25    1934     11201.98
1959    26    1933      9381.02
1959    27    1932      8190.09
1959    28    1931      6368.14
1959    29    1930      5895.16
1959    30    1929      4764.42
1959    31    1928      4294.23
1959    32    1927      3350.67
1959    33    1926      3118.22
1959    34    1925      2559.53
1959    35    1924      2264.91
1959    36    1923      1700.95
1959    37    1922      1459.73
1959    38    1921      1092.14
1959    39    1920       874.08
1959    40    1919       548.61
1959    41    1918       301.50
1959    42    1917       169.14
1959    43    1916       183.92
1959    44    1915       218.18
1959    45    1914       185.44
1959    46    1913        90.23
1959    47    1912        87.70
1959    48    1911        39.19
1959    49    1910        19.35
1959    50    1909         7.52
1959    51    1908         3.17
1959    52    1907         1.28
1959    53    1906         0.58
1959    54    1905         0.19
1959    55+   1904-        0.02
1960    12-   1948+        0.02
1960    13    1947         1.96
1960    14    1946        54.77
1960    15    1945       285.36
1960    16    1944       895.88
1960    17    1943      2494.48
1960    18    1942      5273.96
1960    19    1941      8051.58
1960    20    1940     10535.98
1960    21    1939     10683.63
1960    22    1938     11170.38
1960    23    1937     10746.21
1960    24    1936     10826.35
1960    25    1935      9826.40
1960    26    1934      9850.08
1960    27    1933      8273.50
1960    28    1932      7411.95
1960    29    1931      5911.99
1960    30    1930      5355.98
1960    31    1929      4053.50
1960    32    1928      3632.44
1960    33    1927      2899.36
1960    34    1926      2703.49
1960    35    1925      2043.19
1960    36    1924      1811.80
1960    37    1923      1314.39
1960    38    1922      1088.85
1960    39    1921       861.74
1960    40    1920       726.51
1960    41    1919       450.73
1960    42    1918       235.92
1960    43    1917       143.15
1960    44    1916       137.35
1960    45    1915       119.45
1960    46    1914        73.88
1960    47    1913        31.18
1960    48    1912        32.77
1960    49    1911        21.52
1960    50    1910        24.67
1960    51    1909        15.60
1960    52    1908         7.07
1960    53    1907         2.24
1960    54    1906         0.66
1960    55+   1905-        0.06
1961    12-   1949+        0.02
1961    13    1948         1.83
1961    14    1947        43.82
1961    15    1946       317.48
1961    16    1945      1015.47
1961    17    1944      2602.52
1961    18    1943      5051.17
1961    19    1942      8150.84
1961    20    1941     10089.41
1961    21    1940     11202.17
1961    22    1939     10361.03
1961    23    1938     10401.24
1961    24    1937      9926.80
1961    25    1936      9986.64
1961    26    1935      8883.71
1961    27    1934      8757.34
1961    28    1933      7194.49
1961    29    1932      6329.48
1961    30    1931      5029.30
1961    31    1930      4490.82
1961    32    1929      3401.24
1961    33    1928      3075.30
1961    34    1927      2372.39
1961    35    1926      2186.08
1961    36    1925      1677.25
1961    37    1924      1395.72
1961    38    1923      1057.88
1961    39    1922       897.59
1961    40    1921       648.10
1961    41    1920       497.65
1961    42    1919       281.19
1961    43    1918       159.69
1961    44    1917        89.90
1961    45    1916        79.22
1961    46    1915        70.51
1961    47    1914        42.11
1961    48    1913        21.35
1961    49    1912        25.02
1961    50    1911        17.19
1961    51    1910        18.35
1961    52    1909         8.18
1961    53    1908         2.74
1961    54    1907         0.70
1961    55+   1906-        0.08
1962    12-   1950+        0.02
1962    13    1949         1.89
1962    14    1948        47.32
1962    15    1947       263.01
1962    16    1946       961.18
1962    17    1945      2513.44
1962    18    1944      5027.85
1962    19    1943      7765.61
1962    20    1942     10378.40
1962    21    1941     10854.95
1962    22    1940     10945.13
1962    23    1939      9804.62
1962    24    1938      9561.10
1962    25    1937      8972.96
1962    26    1936      8663.52
1962    27    1935      7444.27
1962    28    1934      7337.80
1962    29    1933      6013.96
1962    30    1932      5277.15
1962    31    1931      4131.19
1962    32    1930      3644.31
1962    33    1929      2733.45
1962    34    1928      2537.04
1962    35    1927      1999.64
1962    36    1926      1827.37
1962    37    1925      1342.09
1962    38    1924      1114.90
